店铺id,店铺名,评论总数,人均价格,标签1,标签2,详情链接,图片链接,店铺总分,city_id,推荐菜,全部菜
l7ewhlGdPFZ3pXRf,永顺炸鸡(北京总店),4074条评价,￥35,炸鸡炸串,新华大街,https://www.dianping.com/shop/l7ewhlGdPFZ3pXRf,https://p0.meituan.net/biztone/52e6ffe99d9b760fa8ef996317ad6640137994.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4,2,"['鸡腿,36.0', '炸鸡排,34.0', '琵琶腿,9.0', '炸鸡翅,36.0', '全翅,13.0', '通州永顺炸鸡,39.0', '小料,None', '农夫烤鸡,24.0', '八珍烤鸡,34.5', '脆皮烤鸭,30.0', '无骨鸡排,22.0', '黄金鸡皮,20.0', '香酥鸡架,27.0', '骨肉相连,None', '吮指原味鸡,None', '奥尔良鸡翅包饭,15.0', '馋嘴鸭,None', '烧饼,None', '酱油炸鸡,None', '调料包,0.5', '黄金脆皮鸡,32.0', '炸鸡脖子,20.0', '本店调料均为,None', '炸鸡锁骨,None', '香喷喷的炸鸡,None']","['鸡腿,36.0', '炸鸡排,34.0', '琵琶腿,9.0', '炸鸡翅,36.0', '全翅,13.0', '通州永顺炸鸡,39.0', '小料,None', '农夫烤鸡,24.0', '八珍烤鸡,34.5', '脆皮烤鸭,30.0', '无骨鸡排,22.0', '黄金鸡皮,20.0', '香酥鸡架,27.0', '骨肉相连,None', '吮指原味鸡,None', '奥尔良鸡翅包饭,15.0', '馋嘴鸭,None', '烧饼,None', '酱油炸鸡,None', '调料包,0.5', '黄金脆皮鸡,32.0', '炸鸡脖子,20.0', '本店调料均为,None', '炸鸡锁骨,None', '香喷喷的炸鸡,None']"
k5l2cjscVL2w92ot,正谈炸鸡(三里屯SOHO店),631条评价,￥67,炸鸡炸串,三里屯/工体,https://www.dianping.com/shop/k5l2cjscVL2w92ot,http://p0.meituan.net/merchant/07adc1485e6db9a4408e97a0ed3d3b1b87087.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4,2,"['芝士雪花炸鸡,55.0', '奶酪球,28.0', '泰椒炸鸡,55.0', '半半炸鸡,98.0', '琥珀蜂蜜炸鸡,None', '酱油炸鸡,None', '甜辣打糕条,20.0', '薯条,23.0', '苏珀林客炸鸡,55.0', '玉米米酒,28.0', '玉米奶酪,55.0', '薯角,None', '佳木斯拌冷面,None', '甜心紫薯球,None', '奶油米酒,None', '炸冷面卷臭豆腐,None', '炸土豆片,None', '酱油年糕,None', '辣炒年糕,None', '沾面炸蘑菇,None', '夹肉茄盒,None', '大胡子冰可可,None']","['芝士雪花炸鸡,55.0', '奶酪球,28.0', '泰椒炸鸡,55.0', '半半炸鸡,98.0', '琥珀蜂蜜炸鸡,None', '酱油炸鸡,None', '甜辣打糕条,20.0', '薯条,23.0', '苏珀林客炸鸡,55.0', '玉米米酒,28.0', '玉米奶酪,55.0', '薯角,None', '佳木斯拌冷面,None', '甜心紫薯球,None', '奶油米酒,None', '炸冷面卷臭豆腐,None', '炸土豆片,None', '酱油年糕,None', '辣炒年糕,None', '沾面炸蘑菇,None', '夹肉茄盒,None', '大胡子冰可可,None']"
jURiwe5yNb20fsTy,会飞的鸡Flying chicken(双井店),5999条评价,￥57,炸鸡炸串,双井,https://www.dianping.com/shop/jURiwe5yNb20fsTy,http://p1.meituan.net/merchant/2820f281cc032a8cb525f309ad398b4d52024.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4,2,"['甜辣酱炸鸡,49.0', '甜酱油炸鸡炸鸡,54.0', '招牌无骨炸鸡,88.0', '鸡翅,9.0', '琵琶腿,9.0', '原味炸鸡,42.0', '辣蒜酱炸鸡,42.0', '洋葱圈,15.0', '美式粗薯条,12.0', '韩式薯格,15.0', '萝卜块,None', '香芋地瓜丸,15.0', '甜辣双拼,88.0', '炸鸡腿,78.0', '无骨鸡米花,68.0', '全家福,189.0', '萝卜泡菜,None', '鸡皮,None', '上校鸡块,None', '全腿全翅双拼,109.0', '无骨鸡腿肉,38.0', '芝士鸡块,18.0', '玉米布丁酥,15.0', '韩国泡菜,3.0', '秘制鸡块,15.0']","['甜辣酱炸鸡,49.0', '甜酱油炸鸡炸鸡,54.0', '招牌无骨炸鸡,88.0', '鸡翅,9.0', '琵琶腿,9.0', '原味炸鸡,42.0', '辣蒜酱炸鸡,42.0', '洋葱圈,15.0', '美式粗薯条,12.0', '韩式薯格,15.0', '萝卜块,None', '香芋地瓜丸,15.0', '甜辣双拼,88.0', '炸鸡腿,78.0', '无骨鸡米花,68.0', '全家福,189.0', '萝卜泡菜,None', '鸡皮,None', '上校鸡块,None', '全腿全翅双拼,109.0', '无骨鸡腿肉,38.0', '芝士鸡块,18.0', '玉米布丁酥,15.0', '韩国泡菜,3.0', '秘制鸡块,15.0']"
k4YfWMw1K6ovFTKo,咏巷炸鸡(通州万象汇店),21条评价,￥28,炸鸡炸串,通州区,https://www.dianping.com/shop/k4YfWMw1K6ovFTKo,https://img.meituan.net/content/2d84c19c1829f9176b706f3c4e006fd171872.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3,2,"['爆汁大鸡腿,23.6', '蜂蜜大鸡架,37.6']","['爆汁大鸡腿,23.6', '蜂蜜大鸡架,37.6']"
jfCa3R54EEo1zcge,炸肉店(通州万象汇店),6条评价,￥0,炸鸡炸串,通州区,https://www.dianping.com/shop/jfCa3R54EEo1zcge,http://p1.meituan.net/poipicadd/826fe7e5bac7c3bb6ed9d92e7b2e75c8183806.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3,2,[],[]
l7xDf8NxoQg7qNYj,JoJo乔乔炸鸡,274条评价,￥33,炸鸡炸串,良乡,https://www.dianping.com/shop/l7xDf8NxoQg7qNYj,http://p0.meituan.net/merchant/894c84ed60932639b2f1e8e7274d7228128483.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4,2,"['自助炸鸡,42.9', '蜂蜜芥末酱,None', '塔塔酱炸鸡,None', '炸鸡拼盘,29.9', '榴莲酱炸鸡,None', '炸鸡甜辣酱,None', '塔塔酱,None', '美式炸薯条,9.9', '榴莲酱,None', '麻辣味撒粉,None', '辣酱油炸猪排,29.9', '炸翅根,14.1', '黑椒汁酱,None', '黄金咖喱芝士粉,None', '肠粉,None', '炸洋葱圈,9.9', '鸡肉锅包肉,15.9', '上校鸡,12.9', '炸鸡盲盒,None', '琥珀甜辣酱,None', '麻辣味炸鸡,None', '韩式无骨炸鸡,None', '香酥翅中,9.9', '川香里脊,11.9', '奶油蒜香味,None']","['自助炸鸡,42.9', '蜂蜜芥末酱,None', '塔塔酱炸鸡,None', '炸鸡拼盘,29.9', '榴莲酱炸鸡,None', '炸鸡甜辣酱,None', '塔塔酱,None', '美式炸薯条,9.9', '榴莲酱,None', '麻辣味撒粉,None', '辣酱油炸猪排,29.9', '炸翅根,14.1', '黑椒汁酱,None', '黄金咖喱芝士粉,None', '肠粉,None', '炸洋葱圈,9.9', '鸡肉锅包肉,15.9', '上校鸡,12.9', '炸鸡盲盒,None', '琥珀甜辣酱,None', '麻辣味炸鸡,None', '韩式无骨炸鸡,None', '香酥翅中,9.9', '川香里脊,11.9', '奶油蒜香味,None']"
kaM8rs1mCDKvGd1K,BASAKAN炸鸡(望京园店),2136条评价,￥80,炸鸡炸串,望京,https://www.dianping.com/shop/kaM8rs1mCDKvGd1K,https://img.meituan.net/msmerchant/c4d24f913022ba1ff8111168fba1e27f72616.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4,2,"['炸鸡拼盘,85.0', '大蒜酱鸡翅,95.0', 'Basaka...,75.0', '腿翅双味拼盘,90.0', '甜辣酱鸡翅,80.0', '酸甜萝卜,5.0', '原味鸡腿（香...,85.0', '蒜香鸡腿,95.0', '红甜酱鸡翅,95.0', '薯条,35.0', '甜酱和辣酱拼,None', '大蒜酱油,95.0', '浓香芝士披萨,65.0', '鸡翅双拼,100.0', '原味炸鸡,None', '火辣味炸鸡,None', '酥脆拼盘,80.0', '火辣酱鸡翅,95.0', '蒜香炸鸡翅鸡腿,90.0', '酥脆鸡翅,90.0', '一整只鸡,None', '大蒜酱无骨鸡,90.0', '原味鸡翅（香...,90.0', '红甜酱琵琶腿,85.0', '蒜味炸鸡,90.0']","['炸鸡拼盘,85.0', '大蒜酱鸡翅,95.0', 'Basaka...,75.0', '腿翅双味拼盘,90.0', '甜辣酱鸡翅,80.0', '酸甜萝卜,5.0', '原味鸡腿（香...,85.0', '蒜香鸡腿,95.0', '红甜酱鸡翅,95.0', '薯条,35.0', '甜酱和辣酱拼,None', '大蒜酱油,95.0', '浓香芝士披萨,65.0', '鸡翅双拼,100.0', '原味炸鸡,None', '火辣味炸鸡,None', '酥脆拼盘,80.0', '火辣酱鸡翅,95.0', '蒜香炸鸡翅鸡腿,90.0', '酥脆鸡翅,90.0', '一整只鸡,None', '大蒜酱无骨鸡,90.0', '原味鸡翅（香...,90.0', '红甜酱琵琶腿,85.0', '蒜味炸鸡,90.0']"
G1eec0i9xSdxUrLK,会飞的鸡Flying chicken(亦庄店),888条评价,￥63,韩国料理,亦庄,https://www.dianping.com/shop/G1eec0i9xSdxUrLK,http://p0.meituan.net/merchant/0e319fe5b97049a2a1320aac5ed0f1bb72120.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5,2,"['鸡翅中,9.9', '琵琶腿,9.0', '蒜香味炸鸡,None', '甜辣酱,1.0', '甜辣味炸鸡,89.0', '无骨炸鸡,88.0', '甜酱油,54.0', '韩式薯格,15.0', '薯条,7.2', '韩国泡菜,3.0', '大蒜甜酱油炸鸡,None', '香芋地瓜丸,15.0', '千丝万缕虾棒,None', '原味炸鸡,None', '芝心奶酪鸡块,18.0', '全家福,188.0', '会飞的鸡,None', 'Cass柠檬...,9.0', '小菜,None', '辣蒜味炸鸡,None', '无骨鸡腿肉,38.0', '韩饮葡萄汁,7.0', '秘制鸡块,15.0', '洋葱圈,15.0', 'HITE芒果...,9.0']","['鸡翅中,9.9', '琵琶腿,9.0', '蒜香味炸鸡,None', '甜辣酱,1.0', '甜辣味炸鸡,89.0', '无骨炸鸡,88.0', '甜酱油,54.0', '韩式薯格,15.0', '薯条,7.2', '韩国泡菜,3.0', '大蒜甜酱油炸鸡,None', '香芋地瓜丸,15.0', '千丝万缕虾棒,None', '原味炸鸡,None', '芝心奶酪鸡块,18.0', '全家福,188.0', '会飞的鸡,None', 'Cass柠檬...,9.0', '小菜,None', '辣蒜味炸鸡,None', '无骨鸡腿肉,38.0', '韩饮葡萄汁,7.0', '秘制鸡块,15.0', '洋葱圈,15.0', 'HITE芒果...,9.0']"
l9FtCYkEEQ6YnmGx,临榆炸鸡,27条评价,￥21,炸鸡炸串,密云县县城,https://www.dianping.com/shop/l9FtCYkEEQ6YnmGx,https://img.meituan.net/content/df1c25af9ab48c272567792ca096280399079.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4,2,"['黄金鸡叉骨,11.0', '香骨鸡,14.0', '鸡肉条250g,14.0', '大鸡腿,None', '手枪腿,17.0']","['黄金鸡叉骨,11.0', '香骨鸡,14.0', '鸡肉条250g,14.0', '大鸡腿,None', '手枪腿,17.0']"
EuTSppAQKrlkCYCq,律二布车율이포차(五棵松华熙店),455条评价,￥87,韩国料理,五棵松,https://www.dianping.com/shop/EuTSppAQKrlkCYCq,https://p0.meituan.net/biztone/34b2e2f461eaf825095299c8a5ed774e485215.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4,2,"['芝士薯条炸鸡,38.0', '分米鸡,268.0', '咖喱芝士炸鸡,68.0', '芝士肥肠,58.0', '韩式嫩牛肉锅,None', '辣鸡爪锅,68.0', '啤酒锅,78.0', '炒年糕,28.0', '风味芝士年糕,None', '辣椒鱿鱼,48.0', '甜辣年糕炸鸡,38.0', '冷面,None', '青提泡泡饮,28.0', '原味炸鸡,38.0', '疯狂的玉米,28.0', '脆烤肉米纸卷...,None', '辣炒鸡胗,38.0', '铁板猪蹄,118.0', '米肠年糕,48.0', '芝士鸡爪,58.0', '韩式肥牛泡菜锅,88.0', '米饭不限量,None', '辛拉面炒饭,None', '肥肠辣椒小当家,None', '楂莓泡泡,28.0']","['芝士薯条炸鸡,38.0', '分米鸡,268.0', '咖喱芝士炸鸡,68.0', '芝士肥肠,58.0', '韩式嫩牛肉锅,None', '辣鸡爪锅,68.0', '啤酒锅,78.0', '炒年糕,28.0', '风味芝士年糕,None', '辣椒鱿鱼,48.0', '甜辣年糕炸鸡,38.0', '冷面,None', '青提泡泡饮,28.0', '原味炸鸡,38.0', '疯狂的玉米,28.0', '脆烤肉米纸卷...,None', '辣炒鸡胗,38.0', '铁板猪蹄,118.0', '米肠年糕,48.0', '芝士鸡爪,58.0', '韩式肥牛泡菜锅,88.0', '米饭不限量,None', '辛拉面炒饭,None', '肥肠辣椒小当家,None', '楂莓泡泡,28.0']"
