店铺id,店铺名,评论总数,人均价格,标签1,标签2,详情链接,图片链接,店铺总分
icDdwj0r8Wi0dkKs,Kyochon1991校村(共和路店),2694条评价,￥57,韩式小吃,上海火车站/客运汽车总站,https://www.dianping.com/shop/icDdwj0r8Wi0dkKs,https://p0.meituan.net/biztone/04fab35ce78ab9a4cc987641de243fdf128619.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
jCwTI36yK9Voz9Bk,HONGA HONGA雄家(曹路店),3337条评价,￥73,韩国料理,曹路,https://www.dianping.com/shop/jCwTI36yK9Voz9Bk,http://p0.meituan.net/merchant/7b68bbeae39e46d757e6a3a64f994d72266230.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,5.0
G2tTvZzD8XV5Lcqs,啊撒啊撒아싸아싸(韩国街店),1123条评价,￥99,韩国料理,虹桥镇,https://www.dianping.com/shop/G2tTvZzD8XV5Lcqs,https://p0.meituan.net/biztone/8ccdb5a43d529b5ef6fa4eed59f1c522183457.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k6oc19mehtO40UPf,正谈炸鸡(上海首店),1003条评价,￥57,炸鸡炸串,西藏南路/世博会馆,https://www.dianping.com/shop/k6oc19mehtO40UPf,https://p1.meituan.net/poiugc/7738332db4f558b43d98d338179e9267339985.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
k3sBPjXF52PysNhk,祚炸鸡炒年糕·韩国料理(国定路店),226条评价,￥63,韩国料理,五角场/大学路,https://www.dianping.com/shop/k3sBPjXF52PysNhk,https://p0.meituan.net/biztone/006aa86405dc714f171426023108d275388052.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H3wZxLdBbMjmPsWg,蒋姨炸鸡,30条评价,￥31,炸鸡炸串,陈家镇,https://www.dianping.com/shop/H3wZxLdBbMjmPsWg,https://p0.meituan.net/biztone/ed06a78b77bda798a63ae10cc477ae53384774.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l2ytxwCT2sTR8qik,正谈炸鸡(普陀环宇城店),79条评价,￥55,炸鸡炸串,真如,https://www.dianping.com/shop/l2ytxwCT2sTR8qik,https://p0.meituan.net/poiugc/76d0765be7c00dda5d16eb5158efd0a1261991.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
jBo44b3jhMfKLy6u,正豪大大雞排(新世界城店),1309条评价,￥26,炸鸡炸串,人民广场/南京路,https://www.dianping.com/shop/jBo44b3jhMfKLy6u,https://img.meituan.net/msmerchant/5a69ad9289f23b7f2b688f09a0438ea0614133.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
HasUNpOo2I4ajMvp,正谈炸鸡(浦东福山荟店),91条评价,￥55,炸鸡炸串,陆家嘴,https://www.dianping.com/shop/HasUNpOo2I4ajMvp,https://p0.meituan.net/biztone/339bb7886d82adc7338322f28f86e98c100405.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l9O4aJy2xuNZt41c,唯世炸鸡유세치킨(天山路店),77条评价,￥49,炸鸡炸串,天山,https://www.dianping.com/shop/l9O4aJy2xuNZt41c,https://p0.meituan.net/biztone/9c534da7cc2ef5adc1e1cabbdce5ae8f396390.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l3rhNeMq08MnXFj6,CITY MART城市集市(合生汇店),751条评价,￥51,超市便利,五角场/大学路,https://www.dianping.com/shop/l3rhNeMq08MnXFj6,https://img.meituan.net/content/0fda650da0657c61ed5afd1bc87a968076617.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,5.0
k37XhakJ53KGbLVo,1973继光香香鸡(崇明名岛生活广场店),14条评价,￥31,炸鸡炸串,陈家镇,https://www.dianping.com/shop/k37XhakJ53KGbLVo,https://img.meituan.net/content/b60a8e94cd7f0fc95f47b8ec331ab74b224445.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
k91GALkv6NDsWgHU,Kyochon 1991校村炸鸡(大宁音乐广场店),111条评价,￥49,炸鸡炸串,大宁地区,https://www.dianping.com/shop/k91GALkv6NDsWgHU,https://p0.meituan.net/biztone/4412333e19880feef5b0e6edb1b5150b67356.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
Gaz9iX5IJoautQlo,Shake Shack(上海新天地店),34369条评价,￥83,西式快餐,淮海路,https://www.dianping.com/shop/Gaz9iX5IJoautQlo,https://img.meituan.net/content/dd73b25f59e728288fc3e332036f3147184482.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
k4el5FGhLEJ9BMpz,弄堂炸鸡,14条评价,￥24,炸鸡炸串,马陆镇,https://www.dianping.com/shop/k4el5FGhLEJ9BMpz,https://p0.meituan.net/biztone/08e1b19e9c71ab86f221cfd3f4786b39931673.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
k8aReduso6KLTw10,Kyochon1991校村炸鸡(华润时代广场店),202条评价,￥52,炸鸡炸串,陆家嘴,https://www.dianping.com/shop/k8aReduso6KLTw10,https://img.meituan.net/content/d9f42cf516eeeeac4bdbfa5f0f99c290150072.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l7oeKvdQvJUv46Ng,Kyochon1991校村(五角场店),951条评价,￥56,炸鸡炸串,五角场/大学路,https://www.dianping.com/shop/l7oeKvdQvJUv46Ng,https://p0.meituan.net/biztone/cc32acc3d8a182169692ad268d119d4c127735.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
